exchangeInstrumentID,symbol
53001,NIFTY25SEPFUT
60315,NIFTY30SEP2522950CE
60310,NIFTY30SEP2522800PE
60512,NIFTY30SEP2525800CE
60490,NIFTY30SEP2525250PE
60548,NIFTY30SEP2526050CE
60336,NIFTY30SEP2523450PE
60392,NIFTY30SEP2524250PE
60493,NIFTY30SEP2525350CE
60314,NIFTY30SEP2522900PE
60469,NIFTY30SEP2524900CE
60311,NIFTY30SEP2522850CE
60465,NIFTY30SEP2524800CE
60377,NIFTY30SEP2524100CE
60441,NIFTY30SEP2524450CE
60486,NIFTY30SEP2525150PE
60492,NIFTY30SEP2525300PE
60347,NIFTY30SEP2523700CE
60312,NIFTY30SEP2522850PE
60457,NIFTY30SEP2524700CE
60450,NIFTY30SEP2524500PE
60362,NIFTY30SEP2523900PE
60505,NIFTY30SEP2525650CE
60326,NIFTY30SEP2523250PE
60342,NIFTY30SEP2523600PE
60464,NIFTY30SEP2524750PE
60592,NIFTY30SEP2526550PE
60303,NIFTY30SEP2522650CE
60308,NIFTY30SEP2522750PE
60309,NIFTY30SEP2522800CE
60325,NIFTY30SEP2523250CE
60327,NIFTY30SEP2523300CE
60474,NIFTY30SEP2524950CE
60440,NIFTY30SEP2524400PE
60357,NIFTY30SEP2523850CE
60575,NIFTY30SEP2526250PE
60333,NIFTY30SEP2523400CE
60589,NIFTY30SEP2526500CE
60467,NIFTY30SEP2524850CE
60573,NIFTY30SEP2526200PE
60491,NIFTY30SEP2525300CE
60334,NIFTY30SEP2523400PE
60475,NIFTY30SEP2524950PE
64694,NIFTY30SEP2525000CE
60485,NIFTY30SEP2525150CE
60513,NIFTY30SEP2525800PE
60406,NIFTY30SEP2524350PE
60586,NIFTY30SEP2526400PE
60402,NIFTY30SEP2524350CE
60307,NIFTY30SEP2522750CE
60345,NIFTY30SEP2523650CE
60552,NIFTY30SEP2526100CE
60504,NIFTY30SEP2525600PE
60588,NIFTY30SEP2526450PE
60456,NIFTY30SEP2524650PE
60384,NIFTY30SEP2524200CE
60323,NIFTY30SEP2523200CE
60374,NIFTY30SEP2524050PE
