exchangeInstrumentID,symbol
52168,NIFTY25OCTFUT
38461,NIFTY07OCT2526400CE
38402,NIFTY07OCT2525250PE
38188,NIFTY07OCT2522750PE
38369,NIFTY07OCT2524800CE
38431,NIFTY07OCT2525800PE
38221,NIFTY07OCT2523100CE
38409,NIFTY07OCT2525400CE
38261,NIFTY07OCT2523600CE
38241,NIFTY07OCT2523400CE
38184,NIFTY07OCT2522650PE
38190,NIFTY07OCT2522800PE
38235,NIFTY07OCT2523300CE
38470,NIFTY07OCT2526550CE
38348,NIFTY07OCT2524500PE
38460,NIFTY07OCT2526350PE
38398,NIFTY07OCT2525150PE
38399,NIFTY07OCT2525200CE
38407,NIFTY07OCT2525350CE
38457,NIFTY07OCT2526300CE
38183,NIFTY07OCT2522650CE
38361,NIFTY07OCT2524700CE
38186,NIFTY07OCT2522700PE
38217,NIFTY07OCT2523050PE
38395,NIFTY07OCT2525100CE
38389,NIFTY07OCT2525000PE
38372,NIFTY07OCT2524850PE
38234,NIFTY07OCT2523250PE
38424,NIFTY07OCT2525750CE
38444,NIFTY07OCT2526000PE
38266,NIFTY07OCT2523650PE
38279,NIFTY07OCT2523900CE
38268,NIFTY07OCT2523700PE
38280,NIFTY07OCT2523900PE
38282,NIFTY07OCT2523950PE
38204,NIFTY07OCT2522900PE
38284,NIFTY07OCT2524000PE
38281,NIFTY07OCT2523950CE
38370,NIFTY07OCT2524800PE
38247,NIFTY07OCT2523500CE
38459,NIFTY07OCT2526350CE
38447,NIFTY07OCT2526050CE
38393,NIFTY07OCT2525050CE
38418,NIFTY07OCT2525600PE
38385,NIFTY07OCT2524950CE
38269,NIFTY07OCT2523750CE
38396,NIFTY07OCT2525100PE
38202,NIFTY07OCT2522850PE
38243,NIFTY07OCT2523450CE
38321,NIFTY07OCT2524300CE
38324,NIFTY07OCT2524350PE
38307,NIFTY07OCT2524150CE
38262,NIFTY07OCT2523600PE
38360,NIFTY07OCT2524650PE
38308,NIFTY07OCT2524150PE
