exchangeInstrumentID,original_symbol,truedata_symbol
52168,NIFTY25OCTFUT,NIFTY25OCTFUT
38461,NIFTY07OCT2526400CE,NIFTY25100726400CE
38402,NIFTY07OCT2525250PE,NIFTY25100725250PE
38188,NIFTY07OCT2522750PE,NIFTY25100722750PE
38369,NIFTY07OCT2524800CE,NIFTY25100724800CE
38431,NIFTY07OCT2525800PE,NIFTY25100725800PE
38221,NIFTY07OCT2523100CE,NIFTY25100723100CE
38409,NIFTY07OCT2525400CE,NIFTY25100725400CE
38261,NIFTY07OCT2523600CE,NIFTY25100723600CE
38241,NIFTY07OCT2523400CE,NIFTY25100723400CE
38184,NIFTY07OCT2522650PE,NIFTY25100722650PE
38190,NIFTY07OCT2522800PE,NIFTY25100722800PE
38235,NIFTY07OCT2523300CE,NIFTY25100723300CE
38470,NIFTY07OCT2526550CE,NIFTY25100726550CE
38348,NIFTY07OCT2524500PE,NIFTY25100724500PE
38460,NIFTY07OCT2526350PE,NIFTY25100726350PE
38398,NIFTY07OCT2525150PE,NIFTY25100725150PE
38399,NIFTY07OCT2525200CE,NIFTY25100725200CE
38407,NIFTY07OCT2525350CE,NIFTY25100725350CE
38457,NIFTY07OCT2526300CE,NIFTY25100726300CE
38183,NIFTY07OCT2522650CE,NIFTY25100722650CE
38361,NIFTY07OCT2524700CE,NIFTY25100724700CE
38186,NIFTY07OCT2522700PE,NIFTY25100722700PE
38217,NIFTY07OCT2523050PE,NIFTY25100723050PE
38395,NIFTY07OCT2525100CE,NIFTY25100725100CE
38389,NIFTY07OCT2525000PE,NIFTY25100725000PE
38372,NIFTY07OCT2524850PE,NIFTY25100724850PE
38234,NIFTY07OCT2523250PE,NIFTY25100723250PE
38424,NIFTY07OCT2525750CE,NIFTY25100725750CE
38444,NIFTY07OCT2526000PE,NIFTY25100726000PE
38266,NIFTY07OCT2523650PE,NIFTY25100723650PE
38279,NIFTY07OCT2523900CE,NIFTY25100723900CE
38268,NIFTY07OCT2523700PE,NIFTY25100723700PE
38280,NIFTY07OCT2523900PE,NIFTY25100723900PE
38282,NIFTY07OCT2523950PE,NIFTY25100723950PE
38204,NIFTY07OCT2522900PE,NIFTY25100722900PE
38284,NIFTY07OCT2524000PE,NIFTY25100724000PE
38281,NIFTY07OCT2523950CE,NIFTY25100723950CE
38370,NIFTY07OCT2524800PE,NIFTY25100724800PE
38247,NIFTY07OCT2523500CE,NIFTY25100723500CE
38459,NIFTY07OCT2526350CE,NIFTY25100726350CE
38447,NIFTY07OCT2526050CE,NIFTY25100726050CE
38393,NIFTY07OCT2525050CE,NIFTY25100725050CE
38418,NIFTY07OCT2525600PE,NIFTY25100725600PE
38385,NIFTY07OCT2524950CE,NIFTY25100724950CE
38269,NIFTY07OCT2523750CE,NIFTY25100723750CE
38396,NIFTY07OCT2525100PE,NIFTY25100725100PE
38202,NIFTY07OCT2522850PE,NIFTY25100722850PE
38243,NIFTY07OCT2523450CE,NIFTY25100723450CE
38321,NIFTY07OCT2524300CE,NIFTY25100724300CE
38324,NIFTY07OCT2524350PE,NIFTY25100724350PE
38307,NIFTY07OCT2524150CE,NIFTY25100724150CE
38262,NIFTY07OCT2523600PE,NIFTY25100723600PE
38360,NIFTY07OCT2524650PE,NIFTY25100724650PE
38308,NIFTY07OCT2524150PE,NIFTY25100724150PE
38253,NIFTY07OCT2523550CE,NIFTY25100723550CE
38456,NIFTY07OCT2526250PE,NIFTY25100726250PE
38404,NIFTY07OCT2525300PE,NIFTY25100725300PE
38472,NIFTY07OCT2526600CE,NIFTY25100726600CE
38189,NIFTY07OCT2522800CE,NIFTY25100722800CE
38265,NIFTY07OCT2523650CE,NIFTY25100723650CE
38394,NIFTY07OCT2525050PE,NIFTY25100725050PE
38371,NIFTY07OCT2524850CE,NIFTY25100724850CE
38232,NIFTY07OCT2523200PE,NIFTY25100723200PE
38283,NIFTY07OCT2524000CE,NIFTY25100724000CE
38285,NIFTY07OCT2524050CE,NIFTY25100724050CE
38185,NIFTY07OCT2522700CE,NIFTY25100722700CE
38326,NIFTY07OCT2524400PE,NIFTY25100724400PE
