exchangeInstrumentID,symbol,reason
13061,360ONE,no_fut_or_opt_pattern
474,3MINDIA,no_fut_or_opt_pattern
23729,AADHARHFC,no_fut_or_opt_pattern
7,AARTIIND,no_fut_or_opt_pattern
5385,AAVAS,no_fut_or_opt_pattern
13,ABB,no_fut_or_opt_pattern
17903,ABBOTINDIA,no_fut_or_opt_pattern
21614,ABCAPITAL,no_fut_or_opt_pattern
30108,ABFRL,no_fut_or_opt_pattern
625,ABREL,no_fut_or_opt_pattern
6018,ABSLAMC,no_fut_or_opt_pattern
22,ACC,no_fut_or_opt_pattern
13587,ACE,no_fut_or_opt_pattern
12024,ACI,no_fut_or_opt_pattern
10217,ADANIENSOL,no_fut_or_opt_pattern
25,ADANIENT,no_fut_or_opt_pattern
3563,ADANIGREEN,no_fut_or_opt_pattern
15083,ADANIPORTS,no_fut_or_opt_pattern
17388,ADANIPOWER,no_fut_or_opt_pattern
40,AEGISLOG,no_fut_or_opt_pattern
11343,AFFLE,no_fut_or_opt_pattern
13086,AIAENG,no_fut_or_opt_pattern
8124,AJANTPHARM,no_fut_or_opt_pattern
24715,AKUMS,no_fut_or_opt_pattern
11703,ALKEM,no_fut_or_opt_pattern
4487,ALKYLAMINE,no_fut_or_opt_pattern
17675,ALOKINDS,no_fut_or_opt_pattern
1185,AMBER,no_fut_or_opt_pattern
1270,AMBUJACEM,no_fut_or_opt_pattern
7145,ANANDRATHI,no_fut_or_opt_pattern
13620,ANANTRAJ,no_fut_or_opt_pattern
324,ANGELONE,no_fut_or_opt_pattern
11491,APARINDS,no_fut_or_opt_pattern
25780,APLAPOLLO,no_fut_or_opt_pattern
25328,APLLTD,no_fut_or_opt_pattern
157,APOLLOHOSP,no_fut_or_opt_pattern
163,APOLLOTYRE,no_fut_or_opt_pattern
5435,APTUS,no_fut_or_opt_pattern
100,ARE&M,no_fut_or_opt_pattern
5378,ASAHIINDIA,no_fut_or_opt_pattern
212,ASHOKLEY,no_fut_or_opt_pattern
236,ASIANPAINT,no_fut_or_opt_pattern
1508,ASTERDM,no_fut_or_opt_pattern
14418,ASTRAL,no_fut_or_opt_pattern
5610,ASTRAZEN,no_fut_or_opt_pattern
6066,ATGL,no_fut_or_opt_pattern
263,ATUL,no_fut_or_opt_pattern
21238,AUBANK,no_fut_or_opt_pattern
275,AUROPHARMA,no_fut_or_opt_pattern
7936,AVANTIFEED,no_fut_or_opt_pattern
8110,AWL,no_fut_or_opt_pattern
5900,AXISBANK,no_fut_or_opt_pattern
16669,BAJAJ-AUTO,no_fut_or_opt_pattern
16675,BAJAJFINSV,no_fut_or_opt_pattern
305,BAJAJHLDNG,no_fut_or_opt_pattern
317,BAJFINANCE,no_fut_or_opt_pattern
14501,BALAMINES,no_fut_or_opt_pattern
335,BALKRISIND,no_fut_or_opt_pattern
341,BALRAMCHIN,no_fut_or_opt_pattern
2263,BANDHANBNK,no_fut_or_opt_pattern
4668,BANKBARODA,no_fut_or_opt_pattern
4745,BANKINDIA,no_fut_or_opt_pattern
368,BASF,no_fut_or_opt_pattern
371,BATAINDIA,no_fut_or_opt_pattern
17927,BAYERCROP,no_fut_or_opt_pattern
380,BBTC,no_fut_or_opt_pattern
2144,BDL,no_fut_or_opt_pattern
383,BEL,no_fut_or_opt_pattern
395,BEML,no_fut_or_opt_pattern
404,BERGEPAINT,no_fut_or_opt_pattern
422,BHARATFORG,no_fut_or_opt_pattern
10604,BHARTIARTL,no_fut_or_opt_pattern
23489,BHARTIHEXA,no_fut_or_opt_pattern
438,BHEL,no_fut_or_opt_pattern
11966,BIKAJI,no_fut_or_opt_pattern
11373,BIOCON,no_fut_or_opt_pattern
480,BIRLACORPN,no_fut_or_opt_pattern
17279,BLS,no_fut_or_opt_pattern
495,BLUEDART,no_fut_or_opt_pattern
8311,BLUESTARCO,no_fut_or_opt_pattern
2181,BOSCHLTD,no_fut_or_opt_pattern
526,BPCL,no_fut_or_opt_pattern
15184,BRIGADE,no_fut_or_opt_pattern
547,BRITANNIA,no_fut_or_opt_pattern
19585,BSE,no_fut_or_opt_pattern
6994,BSOFT,no_fut_or_opt_pattern
9362,CAMPUS,no_fut_or_opt_pattern
342,CAMS,no_fut_or_opt_pattern
10794,CANBK,no_fut_or_opt_pattern
583,CANFINHOME,no_fut_or_opt_pattern
3906,CAPLIPOINT,no_fut_or_opt_pattern
595,CARBORUNIV,no_fut_or_opt_pattern
1250,CASTROLIND,no_fut_or_opt_pattern
11452,CCL,no_fut_or_opt_pattern
